Index,Hour,Latitude,Longitude
0,01,40.648265282,-73.955752145
1,00,40.837321839,-73.9101166
2,12,40.624236771999996,-74.080755533
3,08,40.832111106,-73.948294253
4,08,40.832111106,-73.948294253
5,12,40.646328278,-73.929804249
6,01,40.678029744,-73.963808192
7,20,40.83987167,-73.888139806
8,18,40.806617895,-73.936765755
9,15,40.65758692,-73.92905355
10,02,40.753874924,-73.98482044
11,18,40.809413199,-73.944367164
12,19,40.841690923,-73.837040057
13,20,40.820986429,-73.892228964
14,18,40.679066318000004,-73.915067287
15,20,40.845984791,-73.907462791
16,12,40.669758105999996,-73.802651938
17,00,40.703807407,-73.952858808
18,01,40.799086317,-73.947619211
19,15,40.638689107,-73.916812154
20,12,40.676258774000004,-73.884041154
21,00,40.689141332,-73.820854715
22,21,40.626986011,-73.91401678300001
23,20,40.837683801,-73.913256606
24,10,40.667862819,-73.905388469
25,02,40.69119702,-73.835460637
26,00,40.667533426999995,-73.86424849
27,23,40.849776217,-73.937527165
28,14,40.823423869,-73.90158306100001
29,20,40.790325046999996,-73.941710718
30,21,40.621066254,-74.084955452
31,12,40.874180976,-73.833872447
32,12,40.743417441999995,-73.87846775199999
33,23,40.824798920999996,-73.90817515100001
34,20,40.678435246,-73.927430623
35,18,40.668529332,-73.848497285
36,12,40.823876276,-73.891862968
37,05,40.759150161,-73.960843907
38,16,40.861894559,-73.85766248
39,09,40.66357893,-73.896646458
40,22,40.858948423,-73.922931729
41,13,40.753532701,-73.994536892
42,14,40.837129445,-73.867194698
43,21,40.829952373000005,-73.930051383
44,13,40.819320486,-73.915383261
45,22,40.821455961999995,-73.86620348699999
46,20,40.669372829000004,-73.920393103
47,23,40.846278812,-73.89205787
48,02,40.697233391,-73.78431906
49,04,40.678469299999996,-73.782447304
50,19,40.852381909,-73.91351577100001
51,21,40.82294535,-73.95198314
52,01,40.812699136999996,-73.92161973600001
53,16,40.822262072,-73.940537398
54,23,40.841944334000004,-73.914248556
55,00,40.693415665,-73.848069308
56,21,40.833424263000005,-73.90001076899999
57,15,40.859192159,-73.90067697100001
58,19,40.842803108000005,-73.897076401
59,21,40.903468077,-73.844630036
60,16,40.838778865,-73.86470137399999
61,07,40.606351698000005,-73.94199018399999
62,21,40.798285226,-73.96267373100001
63,17,40.67278405,-73.866472894
64,00,40.68773221,-73.937491478
65,23,40.810524424,-73.938214246
66,12,40.840783858,-73.936252607
67,18,40.568827644,-74.121181494
68,04,40.876743654,-73.90622669
69,19,40.842803108000005,-73.897076401
70,09,40.650957959,-73.955865681
71,17,40.720450333,-73.97491448
72,09,40.638667594,-74.02246340399999
73,23,40.708227855,-73.912862387
74,07,40.693140904,-73.945859731
75,18,40.732876229,-73.860333942
76,00,40.657743089,-73.909136741
77,09,40.672585871,-73.873261458
78,00,40.662518015,-73.927011804
79,17,40.641068098000005,-73.962469806
80,14,40.820663494,-73.956385411
81,04,40.693702669000004,-73.780915483
82,13,40.819718656999996,-73.942389497
83,15,40.671168243000004,-73.909688025
84,20,40.855961786,-73.839795807
85,11,40.830798914,-73.82694879600001
86,22,40.686395734,-73.949095931
87,12,40.848887095,-73.91614446199999
88,23,40.672674098,-73.86168930699999
89,23,40.726529377,-73.734864538
90,22,40.675309538,-73.788052771
91,19,40.653674996,-73.96278707
92,22,40.673324484,-73.91539184
93,01,40.719840334000004,-73.962400198
94,04,40.663341242,-73.96017925
95,03,40.663133396999996,-73.96243216100001
96,01,40.640366106,-73.890520884
97,21,40.70284629,-73.812428901
98,18,40.832941761,-73.935432593
99,04,40.675646399,-73.927184904
100,04,40.675646399,-73.927184904
101,19,40.628089722,-73.946103435
102,22,40.674986972,-73.945849231
103,12,40.615912856,-73.920737805
104,21,40.710739715,-73.803872427
105,12,40.639163716,-73.994427347
106,03,40.673341037,-73.932083027
107,02,40.69726035,-73.977462042
108,02,40.643506043,-73.902615955
109,01,40.629597831,-73.942942693
110,01,40.595792272,-73.984064191
111,23,40.819778814,-73.936720733
112,18,40.689567810999996,-73.832478977
113,16,40.84711223,-73.91747681
114,21,40.836266064,-73.911328663
115,20,40.67459999,-73.930574822
116,22,40.659114761,-73.923216654
117,04,40.819596981,-73.91818654800001
118,01,40.689819066999995,-73.831612927
119,01,40.640790702,-73.932141379
120,13,40.67941151,-73.858592765
121,13,40.67941151,-73.858592765
122,00,40.690654842,-73.90804256199999
123,13,40.818407371,-73.887507503
124,00,40.674993193,-73.915234704
125,21,,
126,01,40.869301715,-73.889511247
127,23,40.805182009,-73.9186305
128,09,40.660436625,-73.939773355
129,01,40.674063439,-73.912535702
130,20,40.668403866999995,-73.869286157
131,19,40.623960368,-73.938282477
132,01,40.64173826,-74.075678037
133,22,40.649091471999995,-73.95577682300001
134,12,40.750294976,-73.822805246
135,02,40.836843178,-73.850809958
