Index,Hour,Latitude,Longitude
275,01,40.673567651999996,-73.807384888
276,21,40.811446464,-73.916184409
277,15,40.823180031999996,-73.866536043
278,20,40.802620306,-73.951087574
279,19,40.766406832,-73.968377423
280,14,40.631766311999996,-73.887299705
281,22,40.880398548,-73.863853651
282,20,40.64480152,-74.005269715
283,12,40.586104414,-74.162630773
284,20,40.692830900000004,-73.758149574
285,23,40.671657216999996,-73.958198788
286,02,40.590091840999996,-74.094684252
287,21,40.851111636,-73.935255912
288,04,40.860928316,-73.920308429
289,19,40.699693597,-73.766488035
290,14,40.768940729,-73.911443572
291,01,40.745222604,-73.91045017
292,06,40.820979933000004,-73.849642388
293,00,40.600205912,-74.121501323
294,20,40.853587401,-73.900591356
295,17,40.667629873,-73.896254478
296,16,40.810328321,-73.91476613
297,22,40.608883423,-74.08315718899999
298,15,40.636744136,-74.134282972
299,19,40.685077953000004,-73.927993087
300,21,40.637483796,-74.00749944
301,18,40.65149337,-73.924533616
302,17,40.642006611999996,-73.9017029
303,03,40.817503461,-73.941975939
304,21,40.662692805,-73.88830716
305,08,40.608391809000004,-74.14661153
306,08,40.608391809000004,-74.14661153
307,08,40.608391809000004,-74.14661153
308,02,40.853064489,-73.868944957
309,21,40.750331537,-73.792130675
310,19,40.827668623,-73.925435892
311,21,40.643647334,-73.952688708
312,11,40.88905357,-73.85132571300001
313,16,40.706860328000005,-73.948196631
314,23,40.803393591,-73.93814501199999
315,10,40.596213981999995,-73.764700204
316,16,40.811393119,-73.922314872
317,19,40.644590276,-74.001900465
318,09,40.684792115,-73.878556569
319,20,40.857922634,-73.892895732
320,22,40.676231908000005,-74.006944997
321,21,40.576124128000004,-73.99982505
322,15,40.661079525,-73.894822924
323,00,40.606404745999995,-74.120479003
324,14,40.548991392,-74.230271459
325,14,40.66475956,-73.894042144
326,13,40.679907551999996,-73.920784329
327,09,40.68190669,-73.89458817
328,07,40.676487297,-73.837065184
329,03,40.683276253,-73.930623478
330,23,40.66156215,-73.925945955
331,08,40.674601815,-73.938614149
332,11,40.873601668,-73.84560379199999
333,04,40.883927913,-73.90132352399999
334,22,40.687140512,-73.856146091
