Longitude,Latitude,Hour,Date,Location,Full_Time
-73.965804097,40.708909009,5,06/04/2016,OUTSIDE,05:50:00
-73.936136211,40.679670066,0,06/05/2016,INSIDE,00:36:00
-73.923942878,40.670206898,4,06/05/2016,OUTSIDE,04:48:00
-73.999543473,40.693065804,21,06/06/2016,OUTSIDE,21:34:00
-73.93844593,40.684998930999996,21,06/07/2016,OUTSIDE,21:04:00
-73.906482233,40.846741539,21,06/11/2016,OUTSIDE,21:39:00
-73.90726130600001,40.816805565,22,06/11/2016,OUTSIDE,22:15:00
-73.897877215,40.820261474,23,06/11/2016,OUTSIDE,23:35:00
-73.88151172399999,40.671411663,2,06/12/2016,OUTSIDE,02:58:00
-73.864353209,40.745435545999996,19,06/12/2016,INSIDE,19:15:00
-73.8614443,40.886052491,6,06/15/2016,INSIDE,06:40:00
-73.912556632,40.680096471999995,17,06/15/2016,OUTSIDE,17:54:00
-73.922538001,40.666231521,22,06/15/2016,INSIDE,22:27:00
-73.845738305,40.786006915,18,06/15/2016,OUTSIDE,18:12:00
-73.98169156899999,40.69969571,18,06/15/2016,OUTSIDE,18:21:00
-73.910442906,40.847277155,23,06/17/2016,OUTSIDE,23:18:00
-73.89485635,40.825100443000004,3,06/18/2016,OUTSIDE,03:27:00
-73.86709561100001,40.680494853,14,06/19/2016,INSIDE,14:26:00
-73.895006204,40.860655553,18,06/19/2016,INSIDE,18:25:00
-73.864958422,40.827871665,16,06/20/2016,OUTSIDE,16:52:00
-73.825563635,40.872596004,16,06/23/2016,INSIDE,16:42:00
-73.906195082,40.671025464,22,06/23/2016,OUTSIDE,22:48:00
-73.94040458100001,40.81725838,23,06/23/2016,OUTSIDE,23:17:00
-73.958293685,40.669788059,8,06/26/2016,OUTSIDE,08:15:00
-73.81915607100001,40.709186497,0,06/26/2016,OUTSIDE,00:01:00
-73.896646458,40.66357893,21,06/29/2016,OUTSIDE,21:45:00
-73.921495901,40.675727746,22,06/29/2016,INSIDE,22:48:00
-73.908920209,40.850660186999995,21,06/29/2016,OUTSIDE,21:17:00
-73.86317105,40.670869804,2,06/30/2016,OUTSIDE,02:27:00
-74.01054859899999,40.620759553,19,06/30/2016,OUTSIDE,19:02:00
-73.900780541,40.814000554,16,07/03/2016,OUTSIDE,16:40:00
-73.91287755399999,40.691103256999995,17,07/03/2016,INSIDE,17:00:00
-73.89306867399999,40.676152237,0,07/04/2016,OUTSIDE,00:06:00
-73.905032007,40.842271968,2,07/04/2016,OUTSIDE,02:53:00
-73.767816313,40.682807656,14,07/04/2016,INSIDE,14:40:00
-73.950481913,40.801063787,2,07/05/2016,INSIDE,02:05:00
-73.833004197,40.88443116,2,07/09/2016,OUTSIDE,02:11:00
-73.957086365,40.680536156,0,07/10/2016,INSIDE,00:40:00
-73.826891092,40.682140409,0,07/15/2016,OUTSIDE,00:14:00
-73.90892519399999,40.67013835,4,07/15/2016,OUTSIDE,04:03:00
-73.90892519399999,40.67013835,4,07/15/2016,OUTSIDE,04:03:00
-73.864502585,40.815720251,2,07/16/2016,INSIDE,02:17:00
-73.914348014,40.764694063,4,07/17/2016,OUTSIDE,04:11:00
-73.94486962100001,40.651998977,2,07/17/2016,OUTSIDE,02:17:00
-73.773651622,40.672789843000004,12,07/18/2016,OUTSIDE,12:12:00
-74.006577149,40.67500776,20,07/19/2016,OUTSIDE,20:17:00
-73.920140835,40.819856355,23,07/19/2016,OUTSIDE,23:53:00
-73.945058895,40.689111202,1,07/20/2016,OUTSIDE,01:25:00
-73.975125947,40.695140908,0,07/21/2016,INSIDE,00:02:00
-73.913178032,40.839739531,6,07/21/2016,INSIDE,06:00:00
-74.02785231600001,40.618091468,19,07/22/2016,INSIDE,19:19:00
-73.822805246,40.750294976,12,07/22/2016,OUTSIDE,12:00:00
-73.927697229,40.831578538,1,07/23/2016,OUTSIDE,01:45:00
-73.86930540899999,40.870142434,2,07/25/2016,INSIDE,02:44:00
-73.907462791,40.845984791,5,07/25/2016,OUTSIDE,05:05:00
-73.907462791,40.845984791,5,07/25/2016,OUTSIDE,05:05:00
-73.793764553,40.692389705,21,07/25/2016,OUTSIDE,21:37:00
-73.831774379,40.764463103000004,23,07/27/2016,OUTSIDE,23:40:00
-73.923789039,40.681803475,1,07/30/2016,OUTSIDE,01:20:00
-73.926700862,40.738838819,7,07/30/2016,INSIDE,07:20:00
-73.809998125,40.736984449,19,08/01/2016,INSIDE,19:15:00
-73.92474482600001,40.68469984,1,08/02/2016,OUTSIDE,01:08:00
-73.885739479,40.842328579000004,17,08/02/2016,INSIDE,17:40:00
-73.853205037,40.65381516,23,08/02/2016,OUTSIDE,23:39:00
-73.850809958,40.836843178,2,08/03/2016,OUTSIDE,02:05:00
-73.95577682300001,40.649091471999995,22,08/03/2016,OUTSIDE,22:18:00
-74.075678037,40.64173826,1,08/04/2016,OUTSIDE,01:46:00
-73.869286157,40.668403866999995,20,08/04/2016,OUTSIDE,20:21:00
-73.938282477,40.623960368,19,08/04/2016,OUTSIDE,19:50:00
-73.939773355,40.660436625,9,08/07/2016,OUTSIDE,09:15:00
-73.912535702,40.674063439,1,08/07/2016,OUTSIDE,01:30:00
-73.9186305,40.805182009,23,08/08/2016,OUTSIDE,23:43:00
-73.889511247,40.869301715,1,08/09/2016,INSIDE,01:08:00
0.0,0.0,21,08/09/2016,OUTSIDE,21:03:00
-73.915234704,40.674993193,0,08/10/2016,OUTSIDE,00:31:00
-73.887507503,40.818407371,13,08/11/2016,INSIDE,13:29:00
-73.90804256199999,40.690654842,0,08/12/2016,OUTSIDE,00:51:00
-73.858592765,40.67941151,13,08/13/2016,OUTSIDE,13:45:00
-73.858592765,40.67941151,13,08/13/2016,OUTSIDE,13:45:00
-73.91818654800001,40.819596981,4,08/14/2016,OUTSIDE,04:38:00
-73.932141379,40.640790702,1,08/14/2016,OUTSIDE,01:50:00
-73.831612927,40.689819066999995,1,08/14/2016,INSIDE,01:59:00
-73.923216654,40.659114761,22,08/16/2016,OUTSIDE,22:24:00
-73.930574822,40.67459999,20,08/16/2016,OUTSIDE,20:14:00
-73.911328663,40.836266064,21,08/17/2016,OUTSIDE,21:20:00
-73.832478977,40.689567810999996,18,08/19/2016,INSIDE,18:07:00
-73.91747681,40.84711223,16,08/19/2016,INSIDE,16:13:00
-73.936720733,40.819778814,23,08/20/2016,OUTSIDE,23:44:00
-73.984064191,40.595792272,1,08/21/2016,INSIDE,01:33:00
-73.942942693,40.629597831,1,08/22/2016,OUTSIDE,01:15:00
-73.932083027,40.673341037,3,08/28/2016,OUTSIDE,03:40:00
-73.902615955,40.643506043,2,08/28/2016,OUTSIDE,02:11:00
-73.977462042,40.69726035,2,08/28/2016,OUTSIDE,02:23:00
-73.994427347,40.639163716,12,08/29/2016,OUTSIDE,12:20:00
-73.803872427,40.710739715,21,08/31/2016,OUTSIDE,21:15:00
-73.945849231,40.674986972,22,09/01/2016,OUTSIDE,22:27:00
-73.920737805,40.615912856,12,09/01/2016,OUTSIDE,12:29:00
-73.946103435,40.628089722,19,09/02/2016,INSIDE,19:30:00
-73.927184904,40.675646399,4,09/03/2016,INSIDE,04:02:00
-73.927184904,40.675646399,4,09/03/2016,INSIDE,04:02:00
-73.935432593,40.832941761,18,09/03/2016,OUTSIDE,18:23:00
-73.812428901,40.70284629,21,09/03/2016,OUTSIDE,21:25:00
-73.890520884,40.640366106,1,09/04/2016,OUTSIDE,01:00:00
-73.96243216100001,40.663133396999996,3,09/05/2016,OUTSIDE,03:49:00
-73.96017925,40.663341242,4,09/05/2016,OUTSIDE,04:14:00
-73.95198314,40.82294535,21,09/05/2016,INSIDE,21:50:00
-73.962400198,40.719840334000004,1,09/06/2016,OUTSIDE,01:28:00
-73.91539184,40.673324484,22,09/06/2016,OUTSIDE,22:23:00
-73.96278707,40.653674996,19,09/07/2016,OUTSIDE,19:40:00
-73.788052771,40.675309538,22,09/10/2016,OUTSIDE,22:12:00
-73.734864538,40.726529377,23,09/10/2016,OUTSIDE,23:42:00
-73.86168930699999,40.672674098,23,09/13/2016,OUTSIDE,23:53:00
-73.909136741,40.657743089,0,09/13/2016,OUTSIDE,00:42:00
-73.949095931,40.686395734,22,09/19/2016,OUTSIDE,22:17:00
-73.82694879600001,40.830798914,11,09/20/2016,OUTSIDE,11:00:00
-73.839795807,40.855961786,20,09/20/2016,INSIDE,20:56:00
-73.909688025,40.671168243000004,15,09/21/2016,OUTSIDE,15:11:00
-73.942389497,40.819718656999996,13,09/23/2016,OUTSIDE,13:50:00
-73.780915483,40.693702669000004,4,09/24/2016,INSIDE,04:40:00
-73.956385411,40.820663494,14,09/26/2016,INSIDE,14:23:00
-73.962469806,40.641068098000005,17,09/26/2016,INSIDE,17:45:00
-73.873261458,40.672585871,9,09/27/2016,INSIDE,09:35:00
-73.927011804,40.662518015,0,09/27/2016,INSIDE,00:37:00
-73.860333942,40.732876229,18,09/27/2016,INSIDE,18:30:00
-73.91351577100001,40.852381909,19,09/27/2016,OUTSIDE,19:27:00
-73.945859731,40.693140904,7,09/28/2016,INSIDE,07:24:00
-73.912862387,40.708227855,23,09/28/2016,INSIDE,23:26:00
-74.02246340399999,40.638667594,9,09/29/2016,OUTSIDE,09:00:00
-73.97491448,40.720450333,17,09/30/2016,INSIDE,17:35:00
-73.955865681,40.650957959,9,10/01/2016,INSIDE,09:40:00
-73.897076401,40.842803108000005,19,10/01/2016,INSIDE,19:25:00
-73.897076401,40.842803108000005,19,10/01/2016,INSIDE,19:25:00
-73.90622669,40.876743654,4,10/02/2016,OUTSIDE,04:15:00
-74.121181494,40.568827644,18,10/02/2016,INSIDE,18:25:00
-73.936252607,40.840783858,12,10/03/2016,OUTSIDE,12:54:00
-73.938214246,40.810524424,23,10/03/2016,OUTSIDE,23:52:00
-73.937491478,40.68773221,0,10/05/2016,INSIDE,00:07:00
-73.866472894,40.67278405,17,10/05/2016,INSIDE,17:58:00
-73.96267373100001,40.798285226,21,10/06/2016,INSIDE,21:27:00
-73.86470137399999,40.838778865,16,10/08/2016,INSIDE,16:34:00
-73.94199018399999,40.606351698000005,7,10/08/2016,INSIDE,07:45:00
