CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,LOC_OF_OCCUR_DESC,Latitude,Longitude
10/22/2015,15:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.861222468,-73.860201788
10/20/2015,20:31:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.796748942,-73.929194181
10/18/2015,10:14:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.671411663,-73.881511724
10/17/2015,12:15:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.698503885,-73.791585417
10/17/2015,04:35:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.827355465,-73.860189834
10/17/2015,04:01:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.703074899,-73.807916367
10/15/2015,13:49:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.854535162,-73.898402966
10/14/2015,01:47:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.64592603,-73.961443671
10/11/2015,14:50:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.748207471,-73.820071514
10/12/2015,04:03:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.739528656,-73.989673657
10/11/2015,22:36:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.687878898,-73.978348633
10/09/2015,04:20:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.886783497,-73.825671072
10/08/2015,18:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.644128794,-73.943052786
07/22/2010,12:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.671411663,-73.881511724
10/06/2015,07:57:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.70577536,-73.931007628
10/05/2015,01:22:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.659156671,-73.916400977
10/04/2015,20:28:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.679890124,-73.820017883
10/04/2015,07:34:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.863744063,-73.898887813
10/04/2015,02:55:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.615423403,-74.084350357
10/04/2015,02:55:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.615423403,-74.084350357
10/03/2015,13:05:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.638674687,-73.988330877
09/30/2015,20:46:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.83707289,-73.850158943
09/28/2015,15:50:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.86080918,-73.92691711
